NameMovie,EnNameMovie,Year,Rating,Runtime,IMDbRating,CustomerRating,Populary,Genre,Decribe,Director,Writter,Star,User_reviews,CriticReviews_Metascore
12 Kỵ Binh Quả Cảm,12 Strong,2018,C18,2h 10m,6.5/10,80K,82,Action,"12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.",Nicolai Fuglsig,Ted Tally,Doug Stanton,430,169 54
Avengers: Cuộc Chiến Vô Cực,Avengers: Infinity War,2018,C16,2h 29m,8.4/10,1M,157,Action,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Anthony Russo,Joe Russo,Stephen McFeely,4.5K,628 68
Thế Giới Khủng Long: Vương Quốc Sụp Đổ,Jurassic World: Fallen Kingdom,2018,C13,2h 8m,6.1/10,310K,137,Action,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",J.A. Bayona,Derek Connolly,Michael Crichton,1.9K,467 51
Chiến Binh Báo Đen,Black Panther,2018,C16,2h 14m,7.3/10,734K,286,Action,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Ryan Coogler,Ryan Coogler,Stan Lee,3.4K,512 88
Chiến Dịch Overlord,Overlord,2018,R,1h 50m,6.6/10,98K,491,Action,A small group of American soldiers find horror behind enemy lines on the eve of D-Day.,Julius Avery,Billy Ray,Jovan Adepo,828,288 60
Nhiệm Vụ Bất Khả Thi: Sụp Đổ,Mission: Impossible - Fallout,2018,C16,2h 27m,7.7/10,326K,378,Action,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Christopher McQuarrie,Bruce Geller,Tom Cruise,1.7K,473 86
Aquaman: Đế Vương Atlantis,Aquaman,2018,C13,2h 23m,6.8/10,462K,724,Action,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",James Wan,David Leslie Johnson-McGoldrick,Geoff Johns,4.4K,464 55
Người Nhện: Vũ Trụ Mới,Spider-Man: Into the Spider-Verse,2018,P,1h 57m,8.4/10,504K,352,Animation,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Bob Persichetti,Peter Ramsey,Phil Lord,2.1K,422 87
Ẩn Thân,Leave No Trace,2018,PG,1h 49m,7.1/10,59K,784,Adventure,"A father and his thirteen-year-old daughter are living an ideal existence in a vast urban park in Portland, Oregon when a small mistake derails their lives forever.",Debra Granik,Debra Granik,Peter Rock,382,201 88
Sinh Vật Huyền Bí: Tội Ác Của Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,2018,C13,2h 14m,6.5/10,277K,380,Adventure,"The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.",David Yates,J.K. Rowling,Katherine Waterston,1.6K,352 52
Vùng Hủy Diệt,Annihilation,2018,R,1h 55m,6.8/10,319K,455,Adventure,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",Alex Garland,Alex Garland,Natalie Portman,2.1K,452 79
Deadpool 2,,2018,C18,1h 59m,7.7/10,563K,271,Action,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",David Leitch,Rhett Reese,Ryan Reynolds,1.4K,539 66
Gia Đình Siêu Nhân 2,Incredibles 2,2018,P,1h 58m,7.6/10,290K,"1,243",Animation,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,Brad Bird,Brad Bird,Holly Hunter,1.1K,405 80
Ráp-phờ Đập Phá 2: Phá Đảo Thế Giới Ảo,Ralph Breaks the Internet,2018,P,1h 52m,7.0/10,157K,"2,048",Animation,"Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",Phil Johnston,Rich Moore,Pamela Ribon,827,281 71
Đảo Của Những Chú Chó,Isle of Dogs,2018,C13,1h 41m,7.8/10,166K,"2,451",Animation,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",Wes Anderson,Wes Anderson,Jason Schwartzman,477,401 82
Bohemian Rhapsody: Huyền Thoại Ngôi Sao Nhạc Rock,Bohemian Rhapsody,2018,C16,2h 14m,7.9/10,526K,185,Biography,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Bryan Singer,Anthony McCarten,Rami Malek,3.5K,426 49
Cẩm Nang Xanh,Green Book,2018,PG-13,2h 10m,8.2/10,472K,692,Biography,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,Nick Vallelonga,Peter Farrelly,1.7K,423 69
Quyền Lực Trong Bóng Tối,Vice,2018,R,2h 12m,7.2/10,145K,536,Biography,"The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that we still feel today.",Adam McKay,Adam McKay,Amy Adams,792,338 61
Sủng Ái,The Favourite,2018,R,1h 59m,7.5/10,197K,"1,460",Biography,"In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne.",Yorgos Lanthimos,Deborah Davis,Olivia Colman,1.2K,448 91
Beautiful Boy,,2018,R,2h,7.3/10,74K,"1,100",Biography,"Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse and recovery in a family coping with addiction over many years.",Felix van Groeningen,Luke Davies,David Sheff,389,235 62
Vị Vua Trái Pháp,Outlaw King,2018,R,2h 1m,6.9/10,71K,"1,465",Action,A true David vs. Goliath story of how the 14th century Scottish 'Outlaw King' Robert the Bruce used cunning and bravery to defeat the much larger and better equipped occupying English army.,David Mackenzie,Bathsheba Doran,James MacInnes,490,127 59
Đảng 3K,BlacKkKlansman,2018,R,2h 15m,7.5/10,259K,"1,475",Biography,"Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.",Spike Lee,Charlie Wachtel,Kevin Willmott,948,447 83
Bước Chân Đầu Tiên,First Man,2018,C13,2h 21m,7.3/10,186K,"1,213",Biography,"A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",Damien Chazelle,Josh Singer,Ryan Gosling,1.4K,489 84
